#group		Blank	Zymo	b1	b2	b3	b4	b5	cm1	cm2	cm3	cm4	cm5	cob1	cob2	cob3	cob4	cob5	cpf1	cpf2	cpf3	cpf4	cpf5	cpv1	cpv2	cpv3	cpv4	cpv5	im1	im2	im3	im4	im5	iob1	iob2	iob3	iob4	iob5	iod1	iod2	iod3	iod4	iod5	ion1	ion2	ion3	ion4	ion5	ipf1	ipf2	ipf3	ipf4	ipf5	ipv1	ipv2	ipv3	ipv4	ipv5	nm1	nm2	nm3	nm4	nm5	nod1	nod2	nod3	nod4	nod5	non1	non2	non3	non4	non5	npf1	npf2	npf3	npf4	npf5	npv1	npv2	npv3	npv4	npv5
methanotrophy	NA	0	0	0	0	0	0	0	491	0	239	76	0	562	454	546	116	84	0	0	73	434	0	71	550	32	26	203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	113	0	0	0	0	46	109	0	258	0	356	229	588	143	280	262	336	0	38	33	155	5	265	0	0	0	157	107	20	82	407
acetoclastic_methanogenesis	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
methanogenesis_by_disproportionation_of_methyl_groups	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
methanogenesis_using_formate	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
methanogenesis_by_CO2_reduction_with_H2	ASV37397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
methanogenesis_by_reduction_of_methyl_compounds_with_H2	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hydrogenotrophic_methanogenesis	ASV37397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
methanogenesis	ASV37397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
methanol_oxidation	NA	0	0	0	0	0	8	46	261	0	635	941	294	1719	93	543	188	795	1063	325	386	554	434	468	373	614	699	691	82	709	886	1989	527	526	999	184	491	1283	154	55	22	46	18	430	93	972	511	483	1147	171	709	625	305	384	406	189	426	529	706	117	999	352	2186	31	77	42	119	39	58	281	167	186	71	462	158	342	203	1002	140	679	4466	99	582
methylotrophy	NA	0	0	0	0	0	8	46	752	0	874	1017	294	2281	547	1089	304	879	1063	325	459	988	434	539	923	646	725	894	82	709	886	1989	527	526	999	184	491	1283	154	55	22	46	18	430	93	972	511	483	1147	171	742	625	418	384	406	189	426	575	815	117	1257	352	2542	260	665	185	399	301	394	281	205	219	226	467	423	342	203	1002	297	786	4486	181	989
