Blank,Zymo,b1,b2,b3,b4,b5,cm1,cm2,cm3,cm4,cm5,cob1,cob2,cob3,cob4,cob5,cpf1,cpf2,cpf3,cpf4,cpf5,cpv1,cpv2,cpv3,cpv4,cpv5,im1,im2,im3,im4,im5,iob1,iob2,iob3,iob4,iob5,iod1,iod2,iod3,iod4,iod5,ion1,ion2,ion3,ion4,ion5,ipf1,ipf2,ipf3,ipf4,ipf5,ipv1,ipv2,ipv3,ipv4,ipv5,nm1,nm2,nm3,nm4,nm5,nod1,nod2,nod3,nod4,nod5,non1,non2,non3,non4,non5,npf1,npf2,npf3,npf4,npf5,npv1,npv2,npv3,npv4,npv5
Algal Parasite-Bryophyte Parasite-Fungal Parasite-Undefined Saprotroph,0,0,0,0,0,0,0,577,96,811,89,94,121,160,178,1253,518,786,1018,200,280,119,3622,593,3508,613,1666,1103,440,1121,745,266,205,267,43,187,0,403,206,19,523,0,0,264,13,122,34,245,352,1074,1617,2326,0,469,241,327,393,255,76,389,950,204,0,854,368,86,0,159,14,17,0,180,491,207,19,3782,894,16,1042,16,0,345
Animal Endosymbiont-Animal Pathogen-Plant Pathogen-Undefined Saprotroph,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Animal Endosymbiont-Animal Pathogen-Undefined Saprotroph,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
Animal Pathogen,0,47373,0,2,0,0,0,121,271,53,568,1271,13,89,66,22,96,735,176,154,386,232,50,41,206,68,701,491,178,88,79,148,260,86,37,62,0,82,109,0,0,0,0,0,0,29,0,92,449,195,758,21,418,26,273,53,144,267,40,149,515,208,0,0,9,0,0,0,15,0,22,61,9,237,20223,66,574,46,19,91,369,118
Animal Pathogen-Endophyte-Epiphyte-Fungal Parasite-Plant Pathogen-Wood Saprotroph,0,0,0,0,0,0,0,849,3176,308,405,116,251,1047,2727,4102,7215,75,294,106,5624,146,0,0,151,92,0,300,240,319,605,601,2839,793,1560,4311,0,22,0,0,35,0,63,64,12,179,18,86,0,105,39,16,6,231,10,139,19,8,217,64,40,194,0,64,41,81,0,89,42,0,0,52,844,612,108,316,892,10,230,0,0,16
Animal Pathogen-Endophyte-Wood Saprotroph,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,731,0,0,0,0,460,0,0
Animal Pathogen-Fungal Parasite-Undefined Saprotroph,0,0,0,0,0,0,0,261,972,565,692,51,0,0,81,18,637,407,156,197,357,379,407,30,477,548,800,21370,4252,1233,1192,1891,196,29,51,8,0,0,39,0,2874,591,0,0,0,0,25,1388,35,357,778,41,10,358,30,2575,1162,257,473,1233,424,898,0,201,110,422,0,25,0,0,60,0,122,220,507,702,567,314,406,549,409,191
Animal Pathogen-Plant Pathogen-Undefined Saprotroph,0,0,0,0,0,0,0,5,190,22,80,20,5,20,4,251,23,42,0,0,11,15,13,0,41,34,40,412,659,1019,161,257,982,663,83,1387,0,0,149,0,0,0,11,0,0,17,83,0,0,28,10,0,21,0,7,64,253,22,15,74,340,35,0,0,51,0,7,0,0,0,0,22,11,147,20,25,68,6,8,47,0,0
Animal Pathogen-Undefined Saprotroph,0,0,0,0,0,0,0,0,0,0,7,5,54,267,759,513,50,17,17,0,0,0,7,0,36,0,6,8,840,15,21,17,74,302,23,322,0,38,0,0,74,109,0,0,7,9,0,0,0,0,0,43,0,5,8,12,0,18,9,0,20,74,0,0,113,0,2,0,0,69,126,52,0,5,4,3,0,0,0,0,13,3
Arbuscular Mycorrhizal,0,0,0,0,0,0,0,62,7,44,11,0,280,849,756,1052,816,5,0,3,116,13,0,99,4,66,14,188,9,12,197,8,4523,3028,520,8176,0,0,16,0,0,0,331,522,539,1878,234,0,13,50,20,20,54,3,185,23,57,0,8,5,43,79,0,440,0,0,0,106,0,0,202,34,5,0,0,127,0,60,96,45,23,0
