OTU_ID	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV1	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Chaetomium	
ASV2	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	intricans
ASV3	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	elongata
ASV4	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Cucurbitariaceae		
ASV5	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	solani
ASV6	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Filobasidium	
ASV7	Fungi	Ascomycota					
ASV8	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	tenuissima
ASV9	Fungi	Ascomycota	Dothideomycetes	Dothideales	Aureobasidiaceae	Aureobasidium	pullulans
ASV10	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Chaetomium	
ASV11	Fungi	Ascomycota					
ASV12	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Metarhizium	anisopliae
ASV13	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae		
ASV14	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Ovatospora	
ASV15	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Chaetomium	
ASV16	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Trimorphomycetaceae	Saitozyma	paraflava
ASV17	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellaceae	Cryptococcus	neoformans
ASV18	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Trimorphomycetaceae	Saitozyma	podzolica
ASV19	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporales_fam_Incertae_sedis	Pleiochaeta	carotae
ASV20	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Westerdykella	nigra
ASV21	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Humicola	olivacea
ASV22	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Chaetomium	anguipilium
ASV23	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Curvularia	caricae-papayae
ASV24	Fungi	Ascomycota	Sordariomycetes	Sordariales			
ASV25	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Echinoderma	echinaceum
ASV26	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae		
ASV27	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae		
ASV28	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Westerdykella	centenaria
ASV29	Fungi	Basidiomycota	Agaricomycetes	Agaricales			
ASV30	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	delicatulum
ASV31	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae		
ASV32	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Curvularia	
ASV33	Fungi	Basidiomycota	Agaricomycetes	Geastrales	Geastraceae	Geastrum	saccatum
ASV34	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales			
ASV35	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Stachybotryaceae		
ASV36	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	
ASV37	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Chaetomium	
ASV38	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Mycocentrospora	acerina
ASV39	Fungi	Basidiomycota	Agaricomycetes	Geastrales	Geastraceae	Geastrum	
ASV40	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Epicoccum	thailandicum
ASV41	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	
ASV42	Fungi	Ascomycota					
ASV43	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Echinoderma	echinaceum
ASV44	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	intricans
ASV45	Fungi	Basidiomycota	Agaricomycetes	Phallales	Phallaceae	Itajahya	rosea
ASV46	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Chaetomium	anguipilium
ASV47	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	oxysporum
