Blank	Zymo	b1	b2	b3	b4	b5	cm1	cm2	cm3	cm4	cm5	cob1	cob2	cob3	cob4	cob5	cpf1	cpf2	cpf3	cpf4	cpf5	cpv1	cpv2	cpv3	cpv4	cpv5	im1	im2	im3	im4	im5	iob1	iob2	iob3	iob4	iob5	iod1	iod2	iod3	iod4	iod5	ion1	ion2	ion3	ion4	ion5	ipf1	ipf2	ipf3	ipf4	ipf5	ipv1	ipv2	ipv3	ipv4	ipv5	nm1	nm2	nm3	nm4	nm5	nod1	nod2	nod3	nod4	nod5	non1	non2	non3	non4	non5	npf1	npf2	npf3	npf4	npf5	npv1	npv2	npv3	npv4	npv5	taxonomy
ASV1	0	0	0	0	0	0	0	4258	18486	2910	4485	10450	0	57	377	0	15	60	13710	2816	2937	3475	1319	160	1980	1111	4130	0	0	148	0	1284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4381	3755	9581	7282	7094	644	1214	0	1860	1691	1232	0	1849	0	2373	0	0	0	697	0	0	0	8	0	0	1347	8848	1125	7497	13346	3847	2724	215	1159	2913	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae;g__Chaetomium;NA
ASV2	0	0	0	0	0	0	0	1024	173	1599	1503	693	367	0	1001	114	0	2933	1449	479	1969	164	27797	26728	4739	767	856	83	865	785	0	1500	0	0	0	0	0	452	0	0	673	0	186	290	771	498	598	3443	169	1353	3090	219	477	361	931	435	917	905	774	9105	607	6674	0	471	5549	1987	213	214	0	402	194	1147	748	692	653	2850	4095	144	2657	2484	773	1284	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Gibberella;s__intricans
ASV3	3	0	0	0	0	0	0	0	36	0	813	0	0	10	0	8	0	0	0	0	691	509	0	0	0	89	0	40	6862	345	7307	415	8370	5480	11732	573	28	299	871	11	0	3	1218	62134	7715	426	185	223	1647	1570	5525	74	1469	0	246	824	266	0	0	0	840	35	15	4	0	0	0	25	0	0	0	17	0	19	0	976	69	0	661	0	0	0	k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__elongata
ASV4	0	6	0	0	0	0	0	297	128	592	2781	278	0	0	0	0	0	329	0	0	0	0	14	7	11	0	0	933	643	21008	0	9933	6	5	0	0	23	0	4	8	4	135	0	34	0	0	10	0	0	0	0	0	0	23	17	0	0	5936	65015	997	2231	8920	0	0	4	0	0	25	0	0	15	0	44	0	0	0	0	21	28	0	0	0	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Cucurbitariaceae;NA;NA
ASV5	0	0	0	0	0	0	0	867	3652	976	668	1777	0	0	127	0	474	1113	4628	964	2712	2892	307	408	1044	1034	1704	763	541	1598	46	846	0	0	56	0	15	0	0	0	63	0	0	0	0	0	18	2572	341	3775	4118	5786	55	666	984	878	1013	1803	14173	3166	2001	1917	0	0	0	257	208	0	0	0	0	0	7268	5026	1751	3724	3024	3013	2437	256	4199	1260	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusarium;s__solani
ASV6	0	10	77752	0	0	0	0	0	9	14	10	11	0	0	17	15	18	13	19	0	7	0	29	15	22	8	7	0	11	13	10	13	0	16	0	0	23	0	8	0	12	0	19	0	16	29	28	0	16	9	0	0	0	17	15	15	10	0	0	21	10	28	9	4	0	14	18	0	11	48	0	16	0	0	0	0	21	0	0	13	17	0	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Filobasidiales;f__Filobasidiaceae;g__Filobasidium;NA
ASV7	0	0	0	0	0	0	0	65	187	291	730	0	1090	59	93	1851	2506	114	92	59	86	4	107	131	48	373	722	4	26	37	21	93	93	329	16	0	9	118	1401	791	0	100	2950	177	566	100	2166	18	36	17	76	23	0	730	1383	208	297	123	0	91	159	80	0	0	31094	64	0	9925	1154	6349	1820	897	254	2298	345	10	51	132	428	13	730	24	k__Fungi;p__Ascomycota;NA;NA;NA;NA;NA
ASV8	0	0	0	0	0	0	0	216	0	282	85	4	258	401	576	2661	536	236	50	29	80	45	2050	5857	945	323	284	59	215	207	199	134	184	271	63	0	0	1642	607	0	827	162	288	624	612	891	920	120	43	383	485	76	188	187	5668	1470	177	64	169	161	226	347	134	327	971	2870	2931	1560	3092	6270	5825	5302	123	10	18	113	326	39	371	6980	299	250	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Alternaria;s__tenuissima
ASV9	0	0	11	247	0	0	0	42	0	22	0	0	28	35	79	2144	69	12	0	21	0	13	0	103	48	88	0	36	25	20	64	0	115	75	12	153	0	50	423	8	628	35	8	78	28	0	901	20	0	34	87	21	11	0	254	0	0	150	0	59	109	200	2278	348	3348	3969	5995	11926	7553	10472	7710	8184	48	0	11	0	0	11	37	10	49	9	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;f__Aureobasidiaceae;g__Aureobasidium;s__pullulans
ASV10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	170	0	565	58	137	0	0	8745	8628	0	871	40	6156	141	281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	932	82	1895	12025	419	0	103	0	3350	10863	1624	0	0	0	0	0	0	0	1361	0	0	0	0	0	0	0	109	184	3217	0	0	605	288	0	0	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae;g__Chaetomium;NA
