cm1,cm2,cm3,cm4,cm5,cob1,cob2,cob3,cob4,cob5,cpf1,cpf2,cpf3,cpf4,cpf5,cpv1,cpv2,cpv3,cpv4,cpv5,im1,im2,im3,im4,im5,iob1,iob2,iob3,iob4,iob5,iod1,iod2,iod3,iod4,iod5,ion1,ion2,ion3,ion4,ion5,ipf1,ipf2,ipf3,ipf4,ipf5,ipv1,ipv2,ipv3,ipv4,ipv5,nm1,nm2,nm3,nm4,nm5,nod1,nod2,nod3,nod4,nod5,non1,non2,non3,non4,non5,npf1,npf2,npf3,npf4,npf5,npv1,npv2,npv3,npv4,npv5
Animal Pathogen,0.00167648077589193,0.00252471142827863,0.000801064054895559,0.00779984070747851,0.0292486480266943,0.000470332850940666,0.00141966151441196,0.000879929605631549,0.000244729962734301,0.00125500039218762,0.0180306152487489,0.00289254840088091,0.00217815620491641,0.00823062817177705,0.00288238144342705,0.000844095551616443,0.000680339838045931,0.00334361304982957,0.000988558884672976,0.0167952465379271,0.00401951634821619,0.00276303126261215,0.000801201802704056,0.00105657349204226,0.00171213067721709,0.00429936832357707,0.00142094740842324,0.000629080522306855,0.00073357154688942,0,0.00191943072493621,0.00252853298691658,0,0,0,0,0,0,0.000506612162185769,0,0.00100807556183777,0.0115394500128502,0.00286385666030254,0.00817435753647726,0.000261155051484853,0.00830304113779473,0.00048438780833147,0.00455144128974175,0.000767815492488447,0.00297403911687561,0.00370082887478169,0.000347611474654778,0.00183181706417507,0.00605554641017802,0.00302756833862187,0,0,0.00012724624977025,0,0,0,0.000231918117443335,0,0.000318591247429548,0.000583905273334673,0.000124823167179829,0.00333164642375169,0.26079723508247,0.000699463744462579,0.00608269927728207,0.000675338403265114,0.000451875282422052,0.00156370822235587,0.00491161750612288,0.00235905637744902
Arbuscular Mycorrhizal,0.000859023207481815,6.52139483319204e-05,0.000665034309724615,0.000151053253137788,0,0.0101302460202605,0.0135426137723118,0.0100791936645068,0.0117025418543857,0.0106675033335948,0.000122657246590129,0,4.24316143814885e-05,0.00247345302571538,0.000161512753295481,0,0.00164277180406213,6.49245252394092e-05,0.000959483623359065,0.000335425751114093,0.00153904088282005,0.000139703827884884,0.000109254791277826,0.00263474655610539,9.2547604173897e-05,0.0747924727982273,0.0500305668919254,0.0088411316648531,0.0967367897962564,0,0,0.000371160805418948,0,0,0,0.00340048695795108,0.00488279423044544,0.00600282879130425,0.0328075048477543,0.00237693761046665,0,0.000334104343356464,0.000734322220590395,0.000215682256899136,0.000248719096652241,0.00107264167808831,5.58909009613235e-05,0.00308431003150998,0.000333202949570458,0.00117722381709659,0,6.95222949309557e-05,6.14703712810425e-05,0.000505608729393505,0.00114989374399581,0,0.0071044515847771,0,0,0,0.00154262595686469,0,0,0.00292524690821676,0.000325455398252113,6.93462039887937e-05,0,0,0.00134593781131436,0,0.000880876178171888,0.00228315932171142,0.000773262307758398,0.000306144180598445,0
Dung Saprotroph,0.000110841704191202,0.000847781328314965,0.00190441643239322,0.00201862074647771,0.000299160050627086,0,0,0.00222648854758286,0,0.00231390697309593,0.00338534000588755,0.000164349340959143,2.82877429209923e-05,0.00298520192758753,9.93924635664501e-05,0.000388283953743564,3.31873091729723e-05,0.0119136503814316,0.00142468780438164,0.000551056591116009,0.000302896343959265,0.000186271770513179,0.00206673646833887,0.00100307610004012,0.00288054417991254,0,0,0.000102013057671382,0,0,0,0,0,0,0,0,0,0,0,0.000385998415374926,0.00270646373667313,0,0,0.00214603845614641,0.000509874148137094,0,0.000335345405767941,0,0.000115896678111464,0.011193952787129,0.0108807141075042,0,0.000958937791984264,0.0016461679561649,5.82224680504207e-05,0,0,0,0,0,0,0,0,0.000202739884727894,0,0.000901500651854317,0.00071693657219973,0,0.00600902944106488,0.00260687111883517,0,0.00309177824815088,0.000137468854712604,0.00517782983707805,0.0145741703318673
Ectomycorrhizal,2.77104260478005e-05,0.00031675346332647,0,6.86605696080855e-05,0,0,0,0,0,0,0,0.000131479472767314,0,0,0.000335449564536769,0,0,6.49245252394092e-05,7.26881532847776e-05,0,0.000106423039769471,3.10452950855298e-05,0,2.67486960010699e-05,6.94107031304227e-05,0,0.000181749087123903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000132177999706271,0.00105684305880577,2.48719096652241e-05,0,0,0,0.000188332101931128,0.000392407939032198,0,9.55931555300641e-05,0,0,0,0,0,0,0,0,5.82123002590447e-05,6.18448313182226e-05,0,0,0,0.000277384815955175,0.000154633378317589,0.000283713552480559,9.53814196994425e-05,0.000127164444821228,8.80876178171888e-05,0.000118914548005803,0,0.000186348631668619,0.00127948820471811
Endophyte,0,0,0.00597019437139143,0.00151053253137788,0,0.000289435600578871,0,0.00462629656294163,0.00426052616941988,0.00471932439145554,0,0,0.000495035501117366,0.00226022431660199,0,0,0,3.24622626197046e-05,0,0,0.000180100528840644,0.00423768277917482,0.000291346110074202,0.00175203958807008,0,0.0165194959817442,0.0325330865951787,0.00350244831338411,0.0035613715421567,0,0.000936307670700592,0,2.77600421952641e-05,0,0.00123545467605229,0.000369841481831537,0.011159336239313,0.00319631143433084,0.000401795852768024,0.000162525648578916,0,0.00305833975841686,0.000205610221765311,8.62729027596545e-05,0.00145500671541561,0,0,0.000433470599023024,0.000304228780042592,0,0,0.000434514343318473,2.4588148512417e-05,0,0.00164478472242438,0.00531558032719203,0,0,0,0,0,0,0,0.000405479769455788,0.00637509691870316,0,0,0,8.47834841772823e-05,2.11940741368713e-05,0,0.000594572740029015,0,0.00203652433180705,0
Epiphyte,0.00455836508486318,0.00584130651487344,0.0379371844865633,0.0222322924390981,0.0062363364399954,0,9.57075178255252e-05,0.00245313708236674,0.00133489070582346,0.000823594007373127,0.00488175841428712,0.00300759293955231,0.0040592911091624,0.0049682289223421,0.00346631216687995,0.0011142061281337,0.00141046063985132,0.00912189579613699,0.0284937560876328,0.00690018688006133,0.038017584360725,0.0126199124522679,0.00878590613192516,0.0320449378092818,0.0248721686217348,0.00666402090154447,0.00684037473357236,0.000459058759521219,0.0048392058496415,0,0.000514969218885326,0,0.000152680232073953,0,0,0,0,0,6.98775396118303e-05,0,0.0067606806701511,0.00182472372140838,0.00330444999265678,0.0131674017836923,0.00108192807043725,0.00655503247720636,0.0588158581116328,0.0165885863856888,0.00746084865342547,0.0048947727131911,0.0034929171402434,0.00048665606451669,0.0273174329972953,0.0106883333725278,0.00212512008384035,0,0,0.00149867805284961,0.000353997337940019,0,0,0,0,0.000405479769455788,0,0.0208870766414246,0.00241790373369321,0.00034819390531705,0.00598783357002056,0.0269694593391688,0.0180285991132513,0.00492306228744025,0.0413265744479766,0.00360717708444255,0.00821671331467413
Fungal Parasite,0.00123311395912712,0.00290667883993702,0.00243342099694689,0.00232072725275329,0.000805430905534461,0,0.000127610023767367,0,0.000244729962734301,7.84375245117264e-05,0.00208517319203219,0.0146599612135555,0,0.00434986566591326,0.000236057100970319,0.000270110576517262,0.00021571750962432,0.000486933939295569,0.00220971985985724,0.0234798025779865,0.00302896343959265,0.00370991276272081,0.000819410934583694,0.00830547010833222,0.00158487772147799,0.00175281939345835,0.00416370635956578,0.000629080522306855,0.000141981589720533,0,0,0,0,0,0,0,0,0.00669332115690882,0,0.00022347276679601,0.000547867153172699,0.00336674376766898,0.00900279042443824,0.00278230111399886,0.000460130328806646,0.00309874262558846,0.00335345405767941,0.00286757473199847,0.000666405899140916,0.00285012082033912,0.000443545033681701,7.82125817973251e-05,0.00175805261863782,0.0011758342544035,0.0108730459084161,0.00381896062341952,0,0,0,0,0,0,0,0,0,0.0108041385814541,0.00289586144849303,0.00312084907728615,0.00700523538014795,0.00178030222749719,0.000308306662360161,0.00147454039527196,0,0.00283516132467256,0.00251899240303878
Lichenized,0,0.00056829297832102,0,0.000439427645491747,0,0,0,0,0,0,0,0.000936791243467114,0.00066476195864332,0.00236683867115868,0.000335449564536769,0,0,0,0,0,4.91183260474483e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.76587445076318e-05,0,0,0.000118625241294525,9.94876386608964e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000857512370670265,0.000335297834749752,0.000222556645965366,0.00291418519381981,0,0,0,0,0
Plant Pathogen,0.0505438171111881,0.00398736712658027,0.149209516036396,0.0298810798934388,0.00126567713726844,0.0134587554269175,0.0277551801694023,0.0234114604165,0.0521052338839757,0.0115041702617199,0.00269845942498283,0.0234033461525819,0.018556759356171,0.0713676489402533,0.0237423747344358,0.0656199881826623,0.00214058144165671,0.0197857490667099,0.0448485905767078,0.0208203555512962,0.00143261784305058,0.0055726304678526,0.00213957299585742,0.0130399893005216,0.00113370815113024,0.0167179283659093,0.0167374386596831,0.00504964635473341,0.0314844175205282,0,0.00430701528522272,0.0241254523522316,0.00773117175138106,0.0086304658389667,0.000402241057319351,0.0153278747470182,0.0162946887920229,0.00911004443652482,0.0363188512132488,0.00411393047965382,0.0288506842860743,0.0464662040606528,0.0275517697165516,0.0068155593180127,0.0367109386658708,0.0105873706374272,0.0535621134212683,0.0549007185608776,0.00101409593347531,0.0102852186125281,0.0177002190003604,0.00468406462097314,0.0226702729284485,0.0165910213296334,0.00259089982824372,0.00811959195609916,0.00132401143170846,0.000890723748391749,0.000240718189799213,0.0080221181256894,0,0.00497850892111692,0.000464439421618107,0.0147855301647986,0.00274722644995166,0.00184460902610191,0.00639619883040936,0.00153463239750848,0.0496725237923652,0.187069495369095,0.0031271104325102,0.0167193854496159,0.0229401151301658,0.0015706527526355,0.0865853658536585
Plant Saprotroph,0.00286802909594735,0,0,0,0,0,3.19025059418417e-05,0.000106658134015945,0.000200233605873519,0,0,0,0,0,9.93924635664501e-05,0,0,0,0.000116301045255644,0,8.18638767457472e-05,0.000745087082052715,0.000209405016615833,0.000454727832018189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.11049712532759e-05,0,0,0.000190923777353503,0.000399012175263402,0,0,0,0,0,0.00204465189285198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.93462039887937e-05,0,0.000193441058509472,0,0,0,0,0,0,0
