Sample	WaterContent	pH	EC	N 	C	Fe	Cu	Zn	K 	Mg	Ca	P	Mn	S
COB1	0.09	7.4	25.08	0.077	0.928	8.750704569	0.404436109	0.215544866	21.82528398	49.11413359	231.5413815	2.716593488	18.22322651	0.358573292
NOD1	0.1	9.09	863.6	0.038	0.336	3.900672906	0.332670586	0.354308398	51.02545234	70.50443888	260.3357672	1.819692397	13.55109761	2.797962682
NPV3	0.05	6.99	27.81	0.054	0.527	6.854329675	0.144840959	0.211596963	16.05887575	26.40395195	60.71368274	2.764001823	13.34840504	0.481638926
CPF2	0.07	7.02	46.91	0.226	2.429	13.06649405	0.190743011	0.412806225	36.15505948	20.68461613	225.1582454	11.17060683	5.656585997	1.063617682
CPV1	0.03	6.78	22.54	0.052	0.571	7.101005679	0.153417981	0.121032458	13.62084801	19.37231066	82.95617648	4.166458538	10.8476403	0.441203665
ION2	0.02	7.5	14.88	0.031	0.3	5.68233787	0.131683988	0.625015681	15.55341753	9.30278379	29.12442122	2.257246683	12.27594658	0.201366053
IPF2	0.03	6.66	54.46	0.077	0.675	6.345832151	0.29807885	0.399244265	20.88280976	8.696813245	70.52685521	4.081669198	13.50356144	0.653291384
IOB2	0.03	7.62	24.15	0.041	0.374	5.234917647	0.157099831	0.317029881	31.33735442	11.62874153	31.21063228	1.637543622	15.47834712	0.155062905
CM2	0.08	7.47	141.4	0.253	2.707	6.51878174	0.300567142	0.293694497	28.6203586	26.17065579	280.7448307	8.818161937	11.26893805	2.087463273
NPV1	0.04	7.33	45.84	0.065	0.677	4.987539803	0.156095127	0.156997088	23.13571875	52.09068512	102.6628207	1.813391669	11.13206867	0.408620637
CPF1	0.05	5.68	42.23	0.157	1.847	15.72874186	0.185874636	0.121777261	33.07291071	17.18249536	104.9168512	12.21404753	4.818056176	1.706164177
IM2	0.04	6.34	40.62	0.106	1.058	12.29112009	0.090749647	0.353708393	55.02177125	9.977084595	52.98158882	5.847963519	17.36437996	0.886004442
NPV2	0.05	6.91	26.01	0.058	0.631	9.884447562	0.10579605	0.150425872	17.30766912	25.28216495	90.88527368	3.194463544	11.45076856	0.366162322
CPV2	0.02	7.18	21.79	0.053	0.523	7.091191681	0.144167293	0.145304123	9.91934686	11.07447661	62.70228116	3.56895045	7.583021311	0.331739451
NPF2	0.02	7.07	28.46	0.071	0.765	9.743590761	0.114701046	0.188361481	22.51381804	13.01009127	105.0965689	8.649730506	8.112364802	0.751058531
ION1	0.01	7.33	14.51	0.026	0.22	5.34720138	0.109921655	0.243467108	14.56372484	9.181177687	26.46151476	3.316173944	10.29488626	0.073769193
CPV2	0.01	6.8	26.07	0.058	0.626	6.879056061	0.124678984	0.174047879	19.89735188	19.10866535	79.92345354	3.276568999	8.545518357	0.348548341
IOB1	0	7.26	14.61	0.027	0.237	6.188556734	0.094123813	0.175541053	17.53241672	8.62721793	24.22994533	2.366117816	11.76205806	0.081781413
IOD2	0.02	6.34	65.55	0.029	0.264	5.643399405	0.117195459	0.264660254	25.12305415	11.79869411	38.48331824	1.873532125	13.84428222	0.805268101
IPV3	0	6.06	21.76	0.025	0.271	7.162206019	0.075725472	0.088054771	12.10848825	10.11654583	29.76751847	3.746444892	14.80322648	0.292318297
IOD1	0.01	6.1	14.32	0.024	0.203	6.674262457	0.101547694	0.152921632	11.63868926	11.66430509	36.92431207	1.903148941	13.22149542	0.386821206
IPF1	0.08	6.23	71.23	0.08	0.769	7.146075292	0.173691182	0.312532518	16.92451528	5.746321681	71.87066968	5.57443721	10.92316629	0.607042425
NOD2	0.04	10.36	471	0.026	0.246	4.620461873	0.111835934	0.214481923	44.81796766	39.6025646	224.2799203	2.337230118	13.54199838	2.150572729
IPV1	0.01	6.59	15.87	0.024	0.215	5.599983257	0.123017863	0.07514693	11.14386479	7.327395775	23.32113577	2.598233371	11.88441588	0.264625175
NON1	0.02	9.21	53.29	0.019	0.194	4.57075494	0.077437641	0.104620027	6.653405866	17.65535221	108.0806136	0.9615234	7.148844621	0.23685464
IM1	0.03	6.27	38	0.172	1.991	9.93490815	0.108345327	0.234709947	53.11872316	9.039167583	53.15262644	5.16661734	3.939603279	0.912224142
NM1	0.01	7.04	34.97	0.05	0.481	6.14037511	0.075392526	0.131748705	12.91543259	13.36263392	68.04637872	3.189529586	6.360713615	0.418890729
COB2	0.08	7.71	29.22	0.128	1.33	6.57898448	0.244640044	0.229282843	39.16887259	42.87405813	241.4817728	2.613403725	21.83616539	0.448304995
NPF1	0.01	6.33	27.63	0.051	0.43	7.124040982	0.081942237	0.124794829	14.28586696	9.183099826	49.31663108	5.861396011	3.448621741	0.530383156
NM2	0.02	5.57	23.46	0.063	0.547	8.78280846	0.10408133	0.098278942	15.10984736	4.007991629	29.21252971	6.698224593	0.626076692	0.730771229
CM1	0.03	8.6	78.94	0.062	0.727	3.256796741	0.077586632	0.198917468	31.35900455	41.002183	218.608924	2.859466597	10.22665055	0.527451793
NON2	0	7.68	14.53	0.021	0.204	4.048329878	0.076363229	0.137030415	10.89131001	12.36769248	33.48459837	1.487695548	3.871479614	-0.093630725
