ID,Treatment,IND,abuabu,abuinc,acacal,ambcon,ariads,ayefil,boedif,boecoc,bouari,boubar,bricpal,buljun,carari,cencil,chanic,chlvir,comcoe,dicres,datdis,encfar,evoals,euperi,eupflo,eralem,eupped,funcyn,galapa,ibeson,ipohed,ipolep,jatcar,lopsch,lycber,mammic,mimdis,olntes,opuful,oputhu,phaspi,panhir,parpre,phocal,porole,porpil,provel,sespor,setmac,sidrho,steala,talpan,stethu,tidlan,zizobt,bare_soil
NON1,ON,1,0,0.05,0,0,0,0,0,0,0,0.99,0,0,0,0.05,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05
NON2,ON,2,0,0,0,0,0,0,0,0,0.05,0.99,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0.75
NON3,ON,3,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0.05,0,0.25
NON4,ON,4,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0.05,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05
NON5,ON,5,0,0,0,0,0,0,0,0,0.05,0.99,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25
IOB1,OB,1,0,0,0,0,0,0,0,0,0.05,0.05,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05
IOB2,OB,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0.25,0,0,0.05,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25
IOB3,OB,3,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0.99,0,0,0,0,0,0.05,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05
IOB4,OB,4,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05
IOB5,OB,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05
IPV5,TPAR+B,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IPV2,TPAR+B,2,0,0,0,0,0,0,0,0,0.05,0.05,0,0,0,0.25,0,0,0,0,0,0.05,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0
IPV3,TPAR+B,3,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0.05,0.05,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0
IPV4,TPAR+B,4,0,0,0,0,0,0,0,0.05,0,0.05,0,0,0,0.75,0,0,0,0,0.05,0.05,0.05,0,0.05,0,0,0,0,0,0.05,0,0.05,0,0,0,0.05,0,0,0,0,0,0.05,0,0,0.25,0,0,0,0.05,0,0,0,0,0,0
IPV1,TPAR+B,1,0,0,0,0,0,0,0,0,0.25,0.05,0,0,0,0.05,0,0,0,0,0,0.05,0,0.05,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
